,HAZMAT,IS_WEEKEND,Vessel_size_category,VTT,AVERAGE_BERTH_TIME,Total_Arrival_in_Window,Terminals_in_Port,UNIQUE_VESSELS_RATIO,ARRIVALS_RATIO,Actual,Predicted,Error,Absolute Error
723,0,0,2,34.166666666666664,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,36.93333333333333,47.18062673675567,-10.24729340342234,10.24729340342234
192,0,0,2,24.83333333333333,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,62.583333333333336,90.1348373467712,-27.55150401343787,27.55150401343787
948,0,0,2,15.5,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,82.3,84.0792595195264,-1.7792595195264056,1.7792595195264056
568,0,0,2,101.63333333333334,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,136.61666666666667,148.35731941822806,-11.740652751561385,11.740652751561385
451,0,0,2,23.5,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,62.65,57.6927798354891,4.9572201645109,4.9572201645109
554,0,0,2,34.0,29.420617283950616,2088,1,1.0,1.0,138.83333333333334,116.33419609477718,22.49913723855616,22.49913723855616
959,0,1,2,193.9333333333333,123.32713963963964,2937,4,0.3870967741935484,0.2364864864864864,115.38333333333334,172.91004798734903,-57.52671465401569,57.52671465401569
109,0,0,0,46.11666666666667,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,31.5,30.51157277489939,0.9884272251006117,0.9884272251006117
381,0,0,2,84.78333333333333,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,150.81666666666666,166.78883733500535,-15.972170668338691,15.972170668338691
77,0,0,0,18.933333333333334,19.226530612244897,760,1,1.0,1.0,14.65,21.94409888144561,-7.294098881445608,7.294098881445608
523,0,1,0,47.583333333333336,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,19.866666666666667,40.43885974483032,-20.57219307816365,20.57219307816365
265,0,0,2,34.766666666666666,29.420617283950616,2088,1,1.0,1.0,26.633333333333333,33.75568631960701,-7.122352986273675,7.122352986273675
82,0,0,0,34.35,29.420617283950616,2088,1,1.0,1.0,49.65,44.391713884453395,5.258286115546603,5.258286115546603
218,0,0,0,98.61666666666666,117.2535460992908,1325,1,1.0,1.0,142.78333333333333,144.4360072941817,-1.6526739608483751,1.6526739608483751
333,0,0,2,16.133333333333333,19.226530612244897,760,1,1.0,1.0,24.683333333333334,38.18422938070828,-13.500896047374948,13.500896047374948
501,0,0,2,94.98333333333332,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,156.71666666666667,137.99677754973462,18.719889116932052,18.719889116932052
567,0,0,2,101.63333333333334,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,137.31666666666666,148.35731941822806,-11.040652751561396,11.040652751561396
853,0,0,2,20.08333333333333,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,125.06666666666666,145.27008186318076,-20.2034151965141,20.2034151965141
363,0,0,2,98.58333333333331,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,140.56666666666666,146.98007105680853,-6.413404390141864,6.413404390141864
2,0,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,147.26666666666668,67.77860870460924,79.48805796205744,79.48805796205744
101,0,0,2,21.4,48.410833333333336,174,2,0.8571428571428571,0.875,190.61666666666667,141.1055744079784,49.51109225868828,49.51109225868828
753,0,1,2,36.0,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,165.23333333333332,125.40121222976748,39.83212110356584,39.83212110356584
507,0,0,2,94.98333333333332,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,150.05,137.99677754973462,12.053222450265395,12.053222450265395
478,0,0,2,83.8,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,114.1,155.50610631452776,-41.40610631452776,41.40610631452776
208,0,1,0,20.75,19.226530612244897,760,1,1.0,1.0,62.016666666666666,63.11705884610571,-1.1003921794390408,1.1003921794390408
673,0,0,2,31.866666666666667,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,69.75,113.02450539276828,-43.274505392768276,43.274505392768276
5,0,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,29.83333333333333,67.77860870460924,-37.94527537127591,37.94527537127591
54,0,0,2,38.5,29.420617283950616,2088,1,1.0,1.0,93.55,106.23735294380477,-12.687352943804768,12.687352943804768
299,0,0,2,22.916666666666668,48.410833333333336,174,2,0.8571428571428571,0.875,17.05,38.67791052899859,-21.627910528998587,21.627910528998587
844,0,1,2,29.0,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,78.13333333333334,70.50728962333936,7.626043709993979,7.626043709993979
371,0,0,2,18.4,29.420617283950616,2088,1,1.0,1.0,103.0,83.3857720189909,19.614227981009094,19.614227981009094
430,1,1,2,43.8,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,81.66666666666667,99.70635866982407,-18.0396920031574,18.0396920031574
97,0,1,2,49.833333333333336,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,62.1,75.97237641251454,-13.872376412514534,13.872376412514534
585,1,0,2,43.91666666666666,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,90.81666666666666,140.60584234274768,-49.789175676081015,49.789175676081015
204,0,1,0,20.75,19.226530612244897,760,1,1.0,1.0,34.1,63.11705884610571,-29.017058846105705,29.017058846105705
261,0,0,2,11.35,11.35,2,1,1.0,1.0,70.48333333333333,50.5226567628609,19.960676570472437,19.960676570472437
616,1,1,2,72.5,60.25136612021858,640,2,0.4285714285714285,0.1967213114754098,102.56666666666666,109.86690379308669,-7.300237126420029,7.300237126420029
930,0,0,2,42.66666666666666,36.58333333333333,108,1,1.0,1.0,58.68333333333333,50.566069053909935,8.117264279423395,8.117264279423395
963,0,0,2,41.75,36.58333333333333,108,1,1.0,1.0,22.7,20.604112328142506,2.0958876718574935,2.0958876718574935
770,0,1,2,123.05,123.32713963963964,2937,4,0.3870967741935484,0.2364864864864864,204.4333333333333,134.40434334626985,70.02898998706345,70.02898998706345
841,0,1,2,61.583333333333336,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,124.85,131.14569183938406,-6.295691839384062,6.295691839384062
25,0,0,0,32.666666666666664,29.420617283950616,2088,1,1.0,1.0,121.05,143.8050223275386,-22.75502232753861,22.75502232753861
84,0,1,0,18.08333333333333,29.420617283950616,2088,1,1.0,1.0,13.55,15.742612408550112,-2.1926124085501115,2.1926124085501115
10,0,0,0,22.48333333333333,19.226530612244897,760,1,1.0,1.0,37.93333333333333,43.52233506938469,-5.589001736051358,5.589001736051358
613,1,0,2,21.516666666666666,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,65.76666666666667,115.80944690707018,-50.042780240403516,50.042780240403516
351,1,0,2,33.666666666666664,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,122.66666666666669,135.46195658948153,-12.795289922814845,12.795289922814845
280,0,0,0,95.58333333333331,117.2535460992908,1325,1,1.0,1.0,113.35,135.56854022384047,-22.218540223840478,22.218540223840478
352,1,0,2,33.666666666666664,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,125.9,135.46195658948153,-9.561956589481525,9.561956589481525
896,0,0,2,58.333333333333336,48.410833333333336,174,2,0.8571428571428571,0.875,99.9,182.48019431482734,-82.58019431482734,82.58019431482734
525,0,1,0,47.583333333333336,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,44.98333333333333,40.43885974483032,4.54447358850301,4.54447358850301
462,0,0,2,35.75,36.58333333333333,108,1,1.0,1.0,35.9,22.402773540862178,13.49722645913782,13.49722645913782
118,0,0,0,25.666666666666668,29.420617283950616,2088,1,1.0,1.0,27.2,41.8742534394821,-14.674253439482104,14.674253439482104
638,0,0,2,221.3333333333333,123.32713963963964,2937,4,0.2258064516129032,0.0945945945945946,296.1333333333333,288.8482361411163,7.2850971922170515,7.2850971922170515
620,1,0,2,48.3,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144,51.81666666666667,96.66313307578594,-44.846466409119266,44.846466409119266
