,HAZMAT,IS_WEEKEND,Vessel_size_category,VTT,AVERAGE_BERTH_TIME,Total_Arrival_in_Window,Terminals_in_Port,UNIQUE_VESSELS_RATIO,ARRIVALS_RATIO,Predicted,Error,Absolute Error,Actual
723,0,0,2,34.166666666666664,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,47.18062673675567,-10.24729340342234,10.24729340342234,36.93333333333333
192,0,0,2,24.83333333333333,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,90.1348373467712,-27.55150401343787,27.55150401343787,62.583333333333336
948,0,0,2,15.5,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,84.0792595195264,-1.7792595195264056,1.7792595195264056,82.3
568,0,0,2,101.63333333333334,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,148.35731941822806,-11.740652751561385,11.740652751561385,136.61666666666667
451,0,0,2,23.5,24.482582582582584,4850,3,0.8333333333333334,0.7342342342342343,57.6927798354891,4.9572201645109,4.9572201645109,62.65
554,0,0,2,34.0,29.420617283950616,2088,1,1.0,1.0,116.33419609477718,22.49913723855616,22.49913723855616,138.83333333333334
959,0,1,2,193.9333333333333,123.32713963963964,2937,4,0.3870967741935484,0.2364864864864864,172.91004798734903,-57.52671465401569,57.52671465401569,115.38333333333334
109,0,0,0,46.11666666666667,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,30.51157277489939,0.9884272251006117,0.9884272251006117,31.5
381,0,0,2,84.78333333333333,123.32713963963964,2937,4,0.4193548387096774,0.6216216216216216,166.78883733500535,-15.972170668338691,15.972170668338691,150.81666666666666
77,0,0,0,18.933333333333334,19.226530612244897,760,1,1.0,1.0,21.94409888144561,-7.294098881445608,7.294098881445608,14.65
523,0,1,0,47.583333333333336,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902,40.43885974483032,-20.57219307816365,20.57219307816365,19.866666666666667
265,0,0,2,34.766666666666666,29.420617283950616,2088,1,1.0,1.0,33.75568631960701,-7.122352986273675,7.122352986273675,26.633333333333333
82,0,0,0,34.35,29.420617283950616,2088,1,1.0,1.0,44.391713884453395,5.258286115546603,5.258286115546603,49.65
218,0,0,0,98.61666666666666,117.2535460992908,1325,1,1.0,1.0,144.4360072941817,-1.6526739608483751,1.6526739608483751,142.78333333333333
333,0,0,2,16.133333333333333,19.226530612244897,760,1,1.0,1.0,38.18422938070828,-13.500896047374948,13.500896047374948,24.683333333333334
