,HAZMAT,IMPORT_DWELL,IMPORT_DWELL_SCALED,IS_WEEKEND,Vessel_size_category,VTT,AVERAGE_BERTH_TIME,Total_Arrival_in_Window,Terminals_in_Port,UNIQUE_VESSELS_RATIO,ARRIVALS_RATIO
0,0,30.683333333333334,5.581218504752568,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902
1,0,56.0,7.200192248770178,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902
2,0,147.26666666666668,10.409747222460236,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902
3,0,27.55,5.317675276700457,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902
4,0,28.133333333333333,5.368349653678621,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902
5,0,29.83333333333333,5.511756651199231,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902
6,0,175.66666666666666,11.089235326191746,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902
7,0,153.06666666666666,10.555882235985962,0,0,45.8,60.25136612021858,640,2,0.6190476190476191,0.8032786885245902
8,0,92.11666666666666,8.74940981750547,1,2,49.68333333333333,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144
9,0,72.98333333333333,7.999180305188025,1,2,49.68333333333333,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857144
10,0,37.93333333333333,6.122733744934589,0,0,22.48333333333333,19.226530612244897,760,1,1.0,1.0
11,0,93.81666666666666,8.810322375438728,0,0,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
12,0,71.93333333333334,7.954000269306917,0,0,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
13,0,71.1,7.91779705721894,0,0,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
14,0,97.2,8.92917804705521,0,0,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
15,0,98.56666666666666,8.976327639769705,0,0,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
16,0,93.7,8.80616813026995,0,0,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
17,0,93.5,8.799037719507425,0,0,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
18,0,94.81666666666666,8.845775450998284,0,0,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
19,0,120.55,9.675995749215684,0,0,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
20,0,123.55,9.764011207626105,0,0,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
21,0,122.86666666666666,9.744102460985712,0,0,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
22,0,75.38333333333334,8.100684177815305,0,0,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
23,0,67.86666666666666,7.77430544362714,1,0,14.35,19.226530612244897,760,1,1.0,1.0
24,0,37.13333333333333,6.066927816263448,1,0,14.35,19.226530612244897,760,1,1.0,1.0
25,0,121.05,9.690775871922478,0,0,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
26,0,122.71666666666668,9.73972136774782,0,0,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
27,0,122.83333333333331,9.743129224358226,0,0,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
28,0,124.63333333333334,9.795408748514795,0,0,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
29,0,149.63333333333333,10.469878784898784,0,0,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
30,0,142.36666666666667,10.282956779024964,0,0,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
31,0,149.35,10.46271690965198,0,0,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
32,0,149.61666666666667,10.46945777397757,0,0,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
33,0,165.08333333333334,10.84616684859649,0,0,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
34,0,125.76666666666668,9.828041588357946,0,0,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
35,0,146.66666666666666,10.394389931354937,0,0,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
36,0,127.0,9.863309291162928,0,0,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
37,0,78.4,8.224955703098843,0,0,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
38,0,79.96666666666667,8.288113383478967,0,0,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
39,0,104.03333333333332,9.160259066165343,0,0,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
40,0,81.0,8.329274791422812,0,0,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
41,0,77.75,8.198479726301517,0,0,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
42,0,89.4,8.650332094056836,0,0,14.483333333333333,19.226530612244897,760,1,1.0,1.0
43,0,117.63333333333334,9.588868981180273,0,0,14.483333333333333,19.226530612244897,760,1,1.0,1.0
44,0,84.45,8.463966825580604,0,0,14.483333333333333,19.226530612244897,760,1,1.0,1.0
45,0,171.95,11.005131253064771,0,0,28.25,29.420617283950616,2088,1,1.0,1.0
46,0,101.16666666666669,9.064717194295689,0,0,28.25,29.420617283950616,2088,1,1.0,1.0
47,0,102.78333333333332,9.118839208461162,0,0,28.25,29.420617283950616,2088,1,1.0,1.0
48,0,103.51666666666668,9.143183419907697,0,0,28.25,29.420617283950616,2088,1,1.0,1.0
49,0,172.03333333333333,11.007031558137887,0,0,28.25,29.420617283950616,2088,1,1.0,1.0
50,0,49.98333333333333,6.87419696910592,0,0,28.25,29.420617283950616,2088,1,1.0,1.0
