SHIPMENTID,VESSEL,IMO,VOYAGE#,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,EQUIPMENTTYPECODE,HAZMAT,GROSS_WEIGHT,weight_uom
1579,SEASPAN AMAZON,9630391,013E,SHANGHAI,NEW YORK,26-09-2019 17:09,02-10-2019 14:42,UCU,N,,
2879,ONE HAMMERSMITH,9395147,063E,KOBE,OAKLAND,04-09-2019 18:00,10-09-2019 08:28,20ST,N,,
2881,ONE HAMMERSMITH,9395147,063E,TOKYO,OAKLAND,04-09-2019 18:00,12-09-2019 16:37,40ST,N,,
2999,MOL MOTIVATOR,9475624,048E,SHANGHAI,SAVANNAH,20-09-2019 12:40,25-09-2019 15:32,UCU,N,,
3000,MOL MOTIVATOR,9475624,048E,SHANGHAI,SAVANNAH,20-09-2019 12:40,23-09-2019 16:03,UCU,N,,
3079,HANOI BRIDGE,9588093,032E,SHANGHAI,NORFOLK,27-09-2019 05:54,30-09-2019 15:24,UCU,N,,
3080,HANOI BRIDGE,9588093,032E,SHANGHAI,NORFOLK,27-09-2019 05:54,30-09-2019 16:10,UCU,N,,
5472,BELLAVIA,9290440,003E,TOKYO,TACOMA,28-08-2019 06:30,03-09-2019 09:46,UCU,N,,
5473,BELLAVIA,9290440,003E,TOKYO,TACOMA,28-08-2019 06:30,29-08-2019 10:03,UCU,N,,
5474,BELLAVIA,9290440,003E,TOKYO,TACOMA,28-08-2019 06:30,29-08-2019 10:38,UCU,N,,
5475,BELLAVIA,9290440,003E,TOKYO,TACOMA,28-08-2019 06:30,29-08-2019 12:20,UCU,N,,
5574,BELLAVIA,9290440,003E,NAGOYA,TACOMA,28-08-2019 06:30,04-09-2019 14:10,UCU,N,,
5575,BELLAVIA,9290440,003E,NAGOYA,TACOMA,28-08-2019 06:30,03-09-2019 15:34,UCU,N,,
7331,BAY BRIDGE,9463267,132E,NAGOYA,TACOMA,09-09-2019 07:00,11-09-2019 14:50,UCU,N,,
7339,MOL EXPLORER,9333826,033E,TOKYO,TACOMA,04-09-2019 06:45,05-09-2019 14:15,UCU,N,,
7341,MOL EXPLORER,9333826,033E,TOKYO,TACOMA,04-09-2019 06:45,05-09-2019 13:35,UCU,N,,
7342,MOL EXPLORER,9333826,033E,TOKYO,TACOMA,04-09-2019 06:45,05-09-2019 08:21,UCU,N,,
7343,MOL EXPLORER,9333826,033E,TOKYO,TACOMA,04-09-2019 06:45,05-09-2019 11:09,UCU,N,,
7344,MOL EXPLORER,9333826,033E,TOKYO,TACOMA,04-09-2019 06:45,05-09-2019 12:06,UCU,N,,
7345,MOL EXPLORER,9333826,033E,TOKYO,TACOMA,04-09-2019 06:45,05-09-2019 12:12,UCU,N,,
7351,BAY BRIDGE,9463267,132E,TOKYO,TACOMA,09-09-2019 07:00,13-09-2019 14:52,UCU,N,,
7369,BAY BRIDGE,9463267,132E,TOKYO,TACOMA,09-09-2019 07:00,13-09-2019 13:58,UCU,N,,
