,VESSEL,IMO,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,HAZMAT,IMPORT_DWELL,IMPORT_DWELL_SCALED,RF,Container_Size,IS_WEEKEND,LENGTH,CLUSTER,VESSEL_CATEGORY,Terminal,Departure Time,VTT,AVERAGE_BERTH_TIME,Total_Arrival_in_Window,Terminals_in_Port,UNIQUE_VESSELS_RATIO,ARRIVALS_RATIO
19,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-09-20 12:40:00,2019-09-25 13:13:00,0,120.55,9.675995749215684,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-21 17:18:00,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
20,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-09-20 12:40:00,2019-09-25 16:13:00,0,123.55,9.764011207626105,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-21 17:18:00,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
21,MOL MOTIVATOR,9475624,SHANGHAI,SAVANNAH,2019-09-20 12:40:00,2019-09-25 15:32:00,0,122.86666666666666,9.744102460985712,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-21 17:18:00,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
22,MOL MOTIVATOR,9475624,SHANGHAI,SAVANNAH,2019-09-20 12:40:00,2019-09-23 16:03:00,0,75.38333333333334,8.100684177815305,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-21 17:18:00,28.633333333333333,29.420617283950616,2088,1,1.0,1.0
23,MOL MOTIVATOR,9475624,PUSAN,CHARLESTON,2019-11-30 17:38:00,2019-12-03 13:30:00,0,67.86666666666666,7.77430544362714,0,1,1,302,0,Medium,WWT (WANDO WELCH TERMINAL),2019-12-01 07:59:00,14.35,19.226530612244897,760,1,1.0,1.0
24,MOL MOTIVATOR,9475624,PUSAN,CHARLESTON,2019-11-30 17:38:00,2019-12-02 06:46:00,0,37.13333333333333,6.066927816263448,0,1,1,302,0,Medium,WWT (WANDO WELCH TERMINAL),2019-12-01 07:59:00,14.35,19.226530612244897,760,1,1.0,1.0
25,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-11-27 10:09:00,2019-12-02 11:12:00,0,121.05,9.690775871922478,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-28 18:49:00,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
26,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-11-27 10:09:00,2019-12-02 12:52:00,0,122.71666666666668,9.73972136774782,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-28 18:49:00,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
27,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-11-27 10:09:00,2019-12-02 12:59:00,0,122.83333333333331,9.743129224358226,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-28 18:49:00,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
28,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-11-27 10:09:00,2019-12-02 14:47:00,0,124.63333333333334,9.795408748514795,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-28 18:49:00,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
29,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-11-27 10:09:00,2019-12-03 15:47:00,0,149.63333333333333,10.469878784898784,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-28 18:49:00,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
30,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-11-27 10:09:00,2019-12-03 08:31:00,0,142.36666666666667,10.282956779024964,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-28 18:49:00,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
31,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-11-27 10:09:00,2019-12-03 15:30:00,0,149.35,10.46271690965198,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-28 18:49:00,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
32,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-11-27 10:09:00,2019-12-03 15:46:00,0,149.61666666666667,10.46945777397757,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-28 18:49:00,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
33,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-11-27 10:09:00,2019-12-04 07:14:00,0,165.08333333333334,10.84616684859649,0,1,0,302,0,Medium,GARDEN CITY TERMINAL,2019-11-28 18:49:00,32.666666666666664,29.420617283950616,2088,1,1.0,1.0
34,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-18 13:46:00,0,125.76666666666668,9.828041588357946,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-14 00:35:00,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
35,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-19 10:40:00,0,146.66666666666666,10.394389931354937,0,0,0,302,0,Medium,GARDEN CITY TERMINAL,2019-09-14 00:35:00,16.583333333333332,29.420617283950616,2088,1,1.0,1.0
